clone_type,clone_id,generation,occurrences,line_length,char_length,entropy,unique_words,total_words,ttr,identifier_density,cyclomatic_complexity,cross_file_spread,directory_spread,original_code,type2_code,locations,human_feedback
Type 1,1,1,14,4,53,3.7778,8,13,0.6154,0.6154,0,4,1,"    int a = 1;
    int b = 2;
    int c = a + b;
    printf(""%d"", c);","int <ID> = <<ID>>;
int <ID> = <<ID>>;
int <ID> = <ID> + <ID>;
<ID>("""", <ID>);","[{""file"": ""tests/type1/test_1_clone_5_occurrences.c"", ""start_line"": 7, ""end_line"": 10}, {""file"": ""tests/type1/test_1_clone_5_occurrences.c"", ""start_line"": 14, ""end_line"": 17}, {""file"": ""tests/type1/test_1_clone_5_occurrences.c"", ""start_line"": 21, ""end_line"": 24}, {""file"": ""tests/type1/test_1_clone_5_occurrences.c"", ""start_line"": 28, ""end_line"": 31}, {""file"": ""tests/type1/test_1_clone_5_occurrences.c"", ""start_line"": 35, ""end_line"": 38}, {""file"": ""tests/type1/test_cross_gen.c"", ""start_line"": 4, ""end_line"": 7}, {""file"": ""tests/type1/test_cross_gen.c"", ""start_line"": 14, ""end_line"": 17}, {""file"": ""tests/type1/test_cross_gen.c"", ""start_line"": 24, ""end_line"": 27}, {""file"": ""tests/type1/test_1_clone_5_occurrences_diff_names.c"", ""start_line"": 4, ""end_line"": 7}, {""file"": ""tests/type1/test_1_clone_5_occurrences_diff_names.c"", ""start_line"": 11, ""end_line"": 14}, {""file"": ""tests/type1/test_1_clone_5_occurrences_diff_names.c"", ""start_line"": 18, ""end_line"": 21}, {""file"": ""tests/type1/test_1_clone_5_occurrences_diff_names.c"", ""start_line"": 25, ""end_line"": 28}, {""file"": ""tests/type1/test_1_clone_5_occurrences_diff_names.c"", ""start_line"": 32, ""end_line"": 35}, {""file"": ""tests/type1/test_cross_file_clone.c"", ""start_line"": 6, ""end_line"": 9}]",TRUE
Type 1,2,1,12,5,55,3.804,8,13,0.6154,0.6154,0,4,1,"    int a = 1;
    int b = 2;
    int c = a + b;
    printf(""%d"", c);
}","int <ID> = <<ID>>;
int <ID> = <<ID>>;
int <ID> = <ID> + <ID>;
<ID>("""", <ID>);
}","[{""file"": ""tests/type1/test_1_clone_5_occurrences.c"", ""start_line"": 7, ""end_line"": 11}, {""file"": ""tests/type1/test_1_clone_5_occurrences.c"", ""start_line"": 14, ""end_line"": 18}, {""file"": ""tests/type1/test_1_clone_5_occurrences.c"", ""start_line"": 21, ""end_line"": 25}, {""file"": ""tests/type1/test_1_clone_5_occurrences.c"", ""start_line"": 28, ""end_line"": 32}, {""file"": ""tests/type1/test_1_clone_5_occurrences.c"", ""start_line"": 35, ""end_line"": 39}, {""file"": ""tests/type1/test_cross_gen.c"", ""start_line"": 24, ""end_line"": 28}, {""file"": ""tests/type1/test_1_clone_5_occurrences_diff_names.c"", ""start_line"": 4, ""end_line"": 8}, {""file"": ""tests/type1/test_1_clone_5_occurrences_diff_names.c"", ""start_line"": 11, ""end_line"": 15}, {""file"": ""tests/type1/test_1_clone_5_occurrences_diff_names.c"", ""start_line"": 18, ""end_line"": 22}, {""file"": ""tests/type1/test_1_clone_5_occurrences_diff_names.c"", ""start_line"": 25, ""end_line"": 29}, {""file"": ""tests/type1/test_1_clone_5_occurrences_diff_names.c"", ""start_line"": 32, ""end_line"": 36}, {""file"": ""tests/type1/test_cross_file_clone.c"", ""start_line"": 6, ""end_line"": 10}]",TRUE
Type 1,3,1,6,6,75,4.3163,10,15,0.6667,0.6,0,2,1,"void func_MATCH() {
    int a = 1;
    int b = 2;
    int c = a + b;
    printf(""%d"", c);
}","void <ID>() {
int <ID> = <<ID>>;
int <ID> = <<ID>>;
int <ID> = <ID> + <ID>;
<ID>("""", <ID>);
}","[{""file"": ""tests/type1/test_1_clone_5_occurrences.c"", ""start_line"": 6, ""end_line"": 11}, {""file"": ""tests/type1/test_1_clone_5_occurrences.c"", ""start_line"": 13, ""end_line"": 18}, {""file"": ""tests/type1/test_1_clone_5_occurrences.c"", ""start_line"": 20, ""end_line"": 25}, {""file"": ""tests/type1/test_1_clone_5_occurrences.c"", ""start_line"": 27, ""end_line"": 32}, {""file"": ""tests/type1/test_1_clone_5_occurrences.c"", ""start_line"": 34, ""end_line"": 39}, {""file"": ""tests/type1/test_cross_file_clone.c"", ""start_line"": 5, ""end_line"": 10}]",TRUE
Type 1,4,3,2,12,151,4.3007,10,30,0.3333,0.6,0,1,1,"void func_MATCH() {
    int a = 1;
    int b = 2;
    int c = a + b;
    printf(""%d"", c);
}

void func_MATCH() {
    int a = 1;
    int b = 2;
    int c = a + b;
    printf(""%d"", c);
}","void <ID>() {
int <ID> = <<ID>>;
int <ID> = <<ID>>;
int <ID> = <ID> + <ID>;
<ID>("""", <ID>);
}
void <ID>() {
int <ID> = <<ID>>;
int <ID> = <<ID>>;
int <ID> = <ID> + <ID>;
<ID>("""", <ID>);
}","[{""file"": ""tests/type1/test_1_clone_5_occurrences.c"", ""start_line"": 6, ""end_line"": 18}, {""file"": ""tests/type1/test_1_clone_5_occurrences.c"", ""start_line"": 27, ""end_line"": 39}]",TRUE
Type 1,5,2,2,18,227,4.2955,10,45,0.2222,0.6,0,1,1,"void func_MATCH() {
    int a = 1;
    int b = 2;
    int c = a + b;
    printf(""%d"", c);
}

void func_MATCH() {
    int a = 1;
    int b = 2;
    int c = a + b;
    printf(""%d"", c);
}

void func_MATCH() {
    int a = 1;
    int b = 2;
    int c = a + b;
    printf(""%d"", c);
}","void <ID>() {
int <ID> = <<ID>>;
int <ID> = <<ID>>;
int <ID> = <ID> + <ID>;
<ID>("""", <ID>);
}
void <ID>() {
int <ID> = <<ID>>;
int <ID> = <<ID>>;
int <ID> = <ID> + <ID>;
<ID>("""", <ID>);
}
void <ID>() {
int <ID> = <<ID>>;
int <ID> = <<ID>>;
int <ID> = <ID> + <ID>;
<ID>("""", <ID>);
}","[{""file"": ""tests/type1/test_1_clone_5_occurrences.c"", ""start_line"": 6, ""end_line"": 25}, {""file"": ""tests/type1/test_1_clone_5_occurrences.c"", ""start_line"": 20, ""end_line"": 39}]",TRUE
Type 1,6,1,2,24,303,4.293,10,60,0.1667,0.6,0,1,1,"void func_MATCH() {
    int a = 1;
    int b = 2;
    int c = a + b;
    printf(""%d"", c);
}

void func_MATCH() {
    int a = 1;
    int b = 2;
    int c = a + b;
    printf(""%d"", c);
}

void func_MATCH() {
    int a = 1;
    int b = 2;
    int c = a + b;
    printf(""%d"", c);
}

void func_MATCH() {
    int a = 1;
    int b = 2;
    int c = a + b;
    printf(""%d"", c);
}","void <ID>() {
int <ID> = <<ID>>;
int <ID> = <<ID>>;
int <ID> = <ID> + <ID>;
<ID>("""", <ID>);
}
void <ID>() {
int <ID> = <<ID>>;
int <ID> = <<ID>>;
int <ID> = <ID> + <ID>;
<ID>("""", <ID>);
}
void <ID>() {
int <ID> = <<ID>>;
int <ID> = <<ID>>;
int <ID> = <ID> + <ID>;
<ID>("""", <ID>);
}
void <ID>() {
int <ID> = <<ID>>;
int <ID> = <<ID>>;
int <ID> = <ID> + <ID>;
<ID>("""", <ID>);
}","[{""file"": ""tests/type1/test_1_clone_5_occurrences.c"", ""start_line"": 6, ""end_line"": 32}, {""file"": ""tests/type1/test_1_clone_5_occurrences.c"", ""start_line"": 13, ""end_line"": 39}]",TRUE
Type 1,7,1,2,6,66,4.144,9,14,0.6429,0.6429,0,1,1,"    int x = 10;
    int y = 20;
    int z = x + y;
    printf(""Result: %d
"", z);
}","int <ID> = <<ID>>;
int <ID> = <<ID>>;
int <ID> = <ID> + <ID>;
<ID>(""<ID>: %<ID>
"", <ID>);
}","[{""file"": ""tests/type1/test_1_clone_2_occurrence.c"", ""start_line"": 4, ""end_line"": 9}, {""file"": ""tests/type1/test_1_clone_2_occurrence.c"", ""start_line"": 14, ""end_line"": 21}]",TRUE
Type 1,8,1,2,2,14,3.182,2,2,1.0,0.5,0,2,1,"}

int main() {","}
int <ID>() {","[{""file"": ""tests/type1/test_1_clone_2_occurrence.c"", ""start_line"": 21, ""end_line"": 23}, {""file"": ""tests/type1/test_1_clone_5_occurrences_diff_names.c"", ""start_line"": 36, ""end_line"": 38}]",NOISE
Type 1,9,1,2,2,11,3.0958,2,2,1.0,0.0,0,2,1,"    return 0;
}","return <<ID>>;
}","[{""file"": ""tests/type1/test_1_clone_2_occurrence.c"", ""start_line"": 26, ""end_line"": 27}, {""file"": ""tests/type1/test_1_clone_5_occurrences_diff_names.c"", ""start_line"": 44, ""end_line"": 45}]",NOISE
Type 1,10,1,2,6,66,3.7584,9,16,0.5625,0.5625,0,1,1,"    int a = 1;
    int b = 2;
    int c = a + b;
    printf(""%d"", c);
    
    // extra parent stuff
    int d = 4;
}","int <ID> = <<ID>>;
int <ID> = <<ID>>;
int <ID> = <ID> + <ID>;
<ID>("""", <ID>);
int <ID> = <<ID>>;
}","[{""file"": ""tests/type1/test_cross_gen.c"", ""start_line"": 4, ""end_line"": 11}, {""file"": ""tests/type1/test_cross_gen.c"", ""start_line"": 14, ""end_line"": 21}]",TRUE
