clone_type,clone_id,generation,occurrences,line_length,char_length,entropy,unique_words,total_words,ttr,identifier_density,cyclomatic_complexity,cross_file_spread,directory_spread,original_code,type2_code,locations,human_feedback
Type 1,1,1,17,2,3,0.9183,0,0,0.0,0.0,0,11,3,"			}
		}","}
}","[{""file"": ""../_code_examples/solution_better/programs/makewords.c"", ""start_line"": 46, ""end_line"": 47}, {""file"": ""../_code_examples/solution_better/programs/unique.c"", ""start_line"": 17, ""end_line"": 18}, {""file"": ""../_code_examples/solution_better/programs/mismatch.c"", ""start_line"": 25, ""end_line"": 26}, {""file"": ""../_code_examples/solution_better/programs/fsrecursive.c"", ""start_line"": 71, ""end_line"": 72}, {""file"": ""../_code_examples/solution_low_quality/fio/fio.c"", ""start_line"": 29, ""end_line"": 30}, {""file"": ""../_code_examples/solution_low_quality/programs/makewords.c"", ""start_line"": 37, ""end_line"": 38}, {""file"": ""../_code_examples/solution_low_quality/programs/makewords.c"", ""start_line"": 47, ""end_line"": 48}, {""file"": ""../_code_examples/solution_low_quality/programs/makewords.c"", ""start_line"": 70, ""end_line"": 71}, {""file"": ""../_code_examples/solution_low_quality/programs/makewords.c"", ""start_line"": 71, ""end_line"": 72}, {""file"": ""../_code_examples/solution_low_quality/programs/unique.c"", ""start_line"": 44, ""end_line"": 45}, {""file"": ""../_code_examples/solution_low_quality/programs/unique.c"", ""start_line"": 67, ""end_line"": 68}, {""file"": ""../_code_examples/solution_low_quality/programs/sort.c"", ""start_line"": 28, ""end_line"": 29}, {""file"": ""../_code_examples/solution_low_quality/programs/lowercase.c"", ""start_line"": 100, ""end_line"": 101}, {""file"": ""../_code_examples/solution_low_quality/programs/mismatch.c"", ""start_line"": 40, ""end_line"": 41}, {""file"": ""../_code_examples/solution_low_quality/programs/mismatch.c"", ""start_line"": 46, ""end_line"": 47}, {""file"": ""../_code_examples/solution_low_quality/programs/fsrecursive.c"", ""start_line"": 39, ""end_line"": 40}, {""file"": ""../_code_examples/solution_low_quality/programs/fsrecursive.c"", ""start_line"": 47, ""end_line"": 48}]",NOISE
Type 1,2,1,12,2,11,3.0958,2,2,1.0,0.0,0,11,2,"	return 0;
}","return <<ID>>;
}","[{""file"": ""../_code_examples/solution_better/programs/makewords.c"", ""start_line"": 54, ""end_line"": 55}, {""file"": ""../_code_examples/solution_better/programs/sort.c"", ""start_line"": 37, ""end_line"": 38}, {""file"": ""../_code_examples/solution_better/programs/lowercase.c"", ""start_line"": 38, ""end_line"": 39}, {""file"": ""../_code_examples/solution_better/programs/sentence.c"", ""start_line"": 9, ""end_line"": 10}, {""file"": ""../_code_examples/solution_low_quality/programs/makewords.c"", ""start_line"": 88, ""end_line"": 89}, {""file"": ""../_code_examples/solution_low_quality/programs/unique.c"", ""start_line"": 34, ""end_line"": 35}, {""file"": ""../_code_examples/solution_low_quality/programs/unique.c"", ""start_line"": 73, ""end_line"": 74}, {""file"": ""../_code_examples/solution_low_quality/programs/sort.c"", ""start_line"": 56, ""end_line"": 57}, {""file"": ""../_code_examples/solution_low_quality/programs/lowercase.c"", ""start_line"": 118, ""end_line"": 119}, {""file"": ""../_code_examples/solution_low_quality/programs/sentence.c"", ""start_line"": 28, ""end_line"": 29}, {""file"": ""../_code_examples/solution_low_quality/programs/mismatch.c"", ""start_line"": 53, ""end_line"": 54}, {""file"": ""../_code_examples/solution_low_quality/programs/fsrecursive.c"", ""start_line"": 80, ""end_line"": 81}]",NOISE
Type 1,3,1,5,3,13,3.027,2,2,1.0,0.0,0,5,2,"	}

	// Exit cleanly.
	return 0;
}","}
return <<ID>>;
}","[{""file"": ""../_code_examples/solution_better/programs/makewords.c"", ""start_line"": 51, ""end_line"": 55}, {""file"": ""../_code_examples/solution_better/programs/lowercase.c"", ""start_line"": 35, ""end_line"": 39}, {""file"": ""../_code_examples/solution_low_quality/programs/makewords.c"", ""start_line"": 86, ""end_line"": 89}, {""file"": ""../_code_examples/solution_low_quality/programs/sort.c"", ""start_line"": 54, ""end_line"": 57}, {""file"": ""../_code_examples/solution_low_quality/programs/lowercase.c"", ""start_line"": 116, ""end_line"": 119}]",NOISE
Type 1,4,1,5,2,14,3.182,2,2,1.0,0.5,0,5,1,"}


int main() {","}
int <ID>() {","[{""file"": ""../_code_examples/solution_low_quality/programs/makewords.c"", ""start_line"": 72, ""end_line"": 75}, {""file"": ""../_code_examples/solution_low_quality/programs/unique.c"", ""start_line"": 57, ""end_line"": 59}, {""file"": ""../_code_examples/solution_low_quality/programs/sort.c"", ""start_line"": 29, ""end_line"": 31}, {""file"": ""../_code_examples/solution_low_quality/programs/lowercase.c"", ""start_line"": 101, ""end_line"": 103}, {""file"": ""../_code_examples/solution_low_quality/programs/fsrecursive.c"", ""start_line"": 51, ""end_line"": 54}]",NOISE
Type 1,5,1,5,2,31,4.3736,5,5,1.0,0.4,0,5,1,"int main() {
    // creates a 1024 byte buffer to store data, will this be enough memory to store data?
    char buffer[1024];","int <ID>() {
char <ID>[<<ID>>];","[{""file"": ""../_code_examples/solution_low_quality/programs/makewords.c"", ""start_line"": 75, ""end_line"": 77}, {""file"": ""../_code_examples/solution_low_quality/programs/unique.c"", ""start_line"": 59, ""end_line"": 60}, {""file"": ""../_code_examples/solution_low_quality/programs/lowercase.c"", ""start_line"": 103, ""end_line"": 105}, {""file"": ""../_code_examples/solution_low_quality/programs/sentence.c"", ""start_line"": 5, ""end_line"": 6}, {""file"": ""../_code_examples/solution_low_quality/programs/mismatch.c"", ""start_line"": 9, ""end_line"": 10}]",NOISE
Type 1,6,1,4,2,14,3.3788,2,2,1.0,0.5,0,2,2,"    return file;
}","return <ID>;
}","[{""file"": ""../_code_examples/solution_better/fio/fio.c"", ""start_line"": 8, ""end_line"": 9}, {""file"": ""../_code_examples/solution_better/fio/fio.c"", ""start_line"": 14, ""end_line"": 15}, {""file"": ""../_code_examples/solution_low_quality/fio/fio.c"", ""start_line"": 10, ""end_line"": 11}, {""file"": ""../_code_examples/solution_low_quality/fio/fio.c"", ""start_line"": 19, ""end_line"": 20}]",NOISE
Type 1,7,1,4,2,54,3.972,6,9,0.6667,0.3333,0,4,2,"}

int main(const int argc, const char* const argv[]) {","}
int <ID>(const int <ID>, const char* const <ID>[]) {","[{""file"": ""../_code_examples/solution_better/programs/sort.c"", ""start_line"": 7, ""end_line"": 9}, {""file"": ""../_code_examples/solution_better/programs/fsrecursive.c"", ""start_line"": 25, ""end_line"": 27}, {""file"": ""../_code_examples/solution_better/programs/lib/test_trie.c"", ""start_line"": 32, ""end_line"": 34}, {""file"": ""../_code_examples/solution_better/programs/lib/test_vector.c"", ""start_line"": 21, ""end_line"": 23}]",NOISE
Type 1,8,1,4,3,10,2.9219,1,1,1.0,0.0,0,2,1,"                    break;
                }
            }","break;
}
}","[{""file"": ""../_code_examples/solution_low_quality/programs/makewords.c"", ""start_line"": 36, ""end_line"": 38}, {""file"": ""../_code_examples/solution_low_quality/programs/makewords.c"", ""start_line"": 46, ""end_line"": 48}, {""file"": ""../_code_examples/solution_low_quality/programs/makewords.c"", ""start_line"": 69, ""end_line"": 71}, {""file"": ""../_code_examples/solution_low_quality/programs/mismatch.c"", ""start_line"": 39, ""end_line"": 41}]",NOISE
Type 1,9,1,4,2,9,2.9477,1,1,1.0,0.0,0,4,1,"        return;
    }","return;
}","[{""file"": ""../_code_examples/solution_low_quality/programs/makewords.c"", ""start_line"": 59, ""end_line"": 60}, {""file"": ""../_code_examples/solution_low_quality/programs/unique.c"", ""start_line"": 50, ""end_line"": 51}, {""file"": ""../_code_examples/solution_low_quality/programs/lowercase.c"", ""start_line"": 87, ""end_line"": 88}, {""file"": ""../_code_examples/solution_low_quality/programs/fsrecursive.c"", ""start_line"": 16, ""end_line"": 17}]",NOISE
Type 1,10,1,3,2,35,4.1678,6,6,1.0,0.6667,0,3,1,"    size_t bytes = 0;
    char* buf = NULL;","<ID> <ID> = <<ID>>;
char* <ID> = <ID>;","[{""file"": ""../_code_examples/solution_better/programs/unique.c"", ""start_line"": 6, ""end_line"": 7}, {""file"": ""../_code_examples/solution_better/programs/sort.c"", ""start_line"": 12, ""end_line"": 13}, {""file"": ""../_code_examples/solution_better/programs/mismatch.c"", ""start_line"": 17, ""end_line"": 18}]",TRUE
